"","knockout_1","knockout_2","knockout_3","wtGATA3_1","wtGATA3_2","wtGATA3_3"
"DDC",0.408452887633199,0.3389324086363,0.332173912382393,2.05173224162781,2.27736462071836,2.62965520959102
"DDHD1",1309.0899234137,1086.27705739851,1064.61610307233,1459.54729483432,1620.05611847466,1870.66619592645
"DDHD2",1132.97184292029,940.135049266497,921.388245931286,1141.32894885037,1266.84277605899,1462.81349744752
"DDI2",154.127885882722,127.894641418629,125.34435282746,108.219288443934,120.120342109552,138.7020244947
"DDIT3",671.204990821703,556.96294754121,545.856803960348,661.18865917694,733.900666704503,847.429390078546
"DDIT4L",26.0357818881144,21.6043772323443,21.173574220085,28.6513176697219,31.8021503362542,36.721695571765
"DDIT4",2984.17307348496,2476.25368361243,2426.87584066211,2713.3945101429,3011.79098036118,3477.69161321554
"DDN",42.9020584725754,35.5999393169266,34.8900571977134,29.2492119357869,32.4657960210276,37.4880020807932
"DDOST",5099.77833413176,4231.77361852981,4147.38975490553,4939.53568551528,5482.74457296798,6330.88250251921
"DDO",26.3119120472311,21.8335088231842,21.398136802595,18.3362233269945,20.3526880531729,23.5010905505878
"DDR1",1493.82339831006,1239.56808189141,1214.85042130642,2377.88095376718,2639.38044473727,3047.67206509369
"DDR2",35.6237512207472,29.5604319897745,28.970980925857,23.4117860814485,25.9864188162372,30.0063156321349
"DDRGK1",1443.46198612458,1197.77840369068,1173.894051979,1304.27149703774,1447.70438505588,1671.65299024849
"DDTL",100.660248091043,83.5274308797702,81.8618485562304,28.8259018410185,31.9959338168573,36.9454558491772
"DDT",626.493588867092,519.861622965459,509.495299941059,430.697772744519,478.062317279943,552.014838426626
"DDX10",2423.31695532723,2010.85774498386,1970.76014973974,3673.9222980077,4077.9495935166,4708.776669086
"DDX11-AS1",12.4562809359579,10.3361671029878,10.1300583188607,5.36278559569081,5.95253997394645,6.87335159700933
"DDX11L2",20.6523324386339,17.1372145706795,16.7954892073708,10.7575770931392,11.9406055914628,13.7877243782585
